quantile,welfare_share,pop_share,avg_welfare,reporting_level,bin,country_code,year,welfare_type
12.424637552198014,0.0016327644629341442,0.01,11.82953374314226,national,1,ARE,2014,income
13.603756595622862,0.0017964264650578432,0.01,13.015280506097504,national,2,ARE,2014,income
14.770244391745457,0.0019582935104736077,0.009999999999999998,14.188022637076724,national,3,ARE,2014,income
15.92482033547929,0.002118467148179537,0.010000000000000002,15.348495868224301,national,4,ARE,2014,income
17.068173263749074,0.002277044535090589,0.010000000000000002,16.49740411062477,national,5,ARE,2014,income
18.20096381829602,0.0024341187755956284,0.010000000000000002,17.635421914425876,national,6,ARE,2014,income
19.323826630344605,0.0025897792351694537,0.009999999999999988,18.763196740987564,national,7,ARE,2014,income
20.437372345011013,0.002744111830657925,0.010000000000000009,19.88135106602518,national,8,ARE,2014,income
21.54218950145301,0.0028971992995636686,0.009999999999999995,20.99048433061034,national,9,ARE,2014,income
22.63884628311452,0.0030491214504342334,0.009999999999999995,22.09117475525647,national,10,ARE,2014,income
23.727892150973975,0.003199955396221421,0.010000000000000009,23.183981030629663,national,11,ARE,2014,income
24.809859371437533,0.0033497757723119914,0.009999999999999995,24.269443897201864,national,12,ARE,2014,income
25.88526444940456,0.0034986549407545198,0.010000000000000009,25.34808762489355,national,13,ARE,2014,income
26.954609476053008,0.0036466631820679662,0.010000000000000009,26.420421402745486,national,14,ARE,2014,income
28.018383400031727,0.0037938688758885064,0.010000000000000009,27.486940647721838,national,15,ARE,2014,income
29.07706322998946,0.003940338671596377,0.009999999999999981,28.54812824091814,national,16,ARE,2014,income
30.131115175705464,0.004086137649980115,0.010000000000000009,29.60445569883363,national,17,ARE,2014,income
31.18099573450361,0.004231329476888979,0.010000000000000009,30.656384286598428,national,18,ARE,2014,income
32.22715272912114,0.004375976549767069,0.009999999999999981,31.704366079626517,national,19,ARE,2014,income
33.27002630275791,0.004520140137884043,0.010000000000000009,32.7488449796005,national,20,ARE,2014,income
34.31004987664526,0.004663880517033148,0.010000000000000009,33.79025769037248,national,21,ARE,2014,income
35.34765107513952,0.004807257099398443,0.009999999999999981,34.82903465886364,national,22,ARE,2014,income
36.38325262305994,0.004950328559275796,0.010000000000000009,35.865600985924786,national,23,ARE,2014,income
37.4172732197491,0.005093152955268687,0.010000000000000009,36.900377311657415,national,24,ARE,2014,income
38.4501283941336,0.005235787849569684,0.009999999999999981,37.93378067961852,national,25,ARE,2014,income
39.48223134490078,0.005378290424907339,0.010000000000000009,38.96622538411187,national,26,ARE,2014,income
40.51399376978056,0.005520717599714731,0.010000000000000009,39.99812380459606,national,27,ARE,2014,income
41.545826687829994,0.005663126142060992,0.010000000000000009,41.02988723112818,national,28,ARE,2014,income
42.57814125855914,0.005805572782886292,0.010000000000000009,42.06192668476254,national,29,ARE,2014,income
43.61134960171035,0.005948114329061838,0.009999999999999953,43.09465373668128,national,30,ARE,2014,income
44.64586562150862,0.0060908077768044855,0.010000000000000009,44.12848132989284,national,31,ARE,2014,income
45.682105839238076,0.006233710425973316,0.010000000000000009,45.16382460732384,national,32,ARE,2014,income
46.72049023806987,0.006376879995784179,0.010000000000000009,46.20110175017961,national,33,ARE,2014,income
47.76144312417013,0.006520374742495116,0.010000000000000009,47.24073483058745,national,34,ARE,2014,income
48.80539400825494,0.00666425357961975,0.010000000000000009,48.28315068255383,national,35,ARE,2014,income
49.852778511934815,0.006808576201266625,0.010000000000000009,49.32878179556962,national,36,ARE,2014,income
50.90403930340438,0.006953403209204678,0.009999999999999953,50.3780672352118,national,37,ARE,2014,income
51.95962706729027,0.007098796244313643,0.010000000000000009,51.43145359551274,national,38,ARE,2014,income
53.020001513770744,0.007244818123095964,0.010000000000000009,52.48939598800476,national,39,ARE,2014,income
54.08563243243288,0.007391532979982962,0.010000000000000009,53.55235907273906,national,40,ARE,2014,income
55.15700079673904,0.007539006416212857,0.010000000000000009,54.62081813692255,national,41,ARE,2014,income
56.234599925441174,0.007687305656131738,0.010000000000000009,55.69526022733294,national,42,ARE,2014,income
57.318936707816256,0.00783649971181588,0.009999999999999953,56.77618534302338,national,43,ARE,2014,income
58.410532900206356,0.007986659557018827,0.010000000000000009,57.86410769558404,national,44,ARE,2014,income
59.50992650204168,0.008137858311509039,0.010000000000000009,58.95955704468907,national,45,ARE,2014,income
60.617673220316746,0.00829017143699251,0.010000000000000009,60.063080117571424,national,46,ARE,2014,income
61.73434803238919,0.008443676945912193,0.010000000000000009,61.17524212179607,national,47,ARE,2014,income
62.86054685799462,0.008598455624558632,0.010000000000000009,62.296628361717474,national,48,ARE,2014,income
63.99688835253529,0.00875459127207212,0.009999999999999953,63.427845970073314,national,49,ARE,2014,income
65.14401583502598,0.008912170957089405,0.010000000000000009,64.56952576741239,national,50,ARE,2014,income
66.30259936559108,0.00907128529398915,0.010000000000000009,65.72232426352295,national,51,ARE,2014,income
67.47333798912943,0.009232028740903564,0.010000000000000009,66.88692581655158,national,52,ARE,2014,income
68.65696216373256,0.009394499921921318,0.010000000000000009,68.06404496739582,national,53,ARE,2014,income
69.85423639469242,0.00955880197620318,0.010000000000000009,69.25442896907975,national,54,ARE,2014,income
71.0659620975161,0.009725042937059447,0.010000000000000009,70.45886053320605,national,55,ARE,2014,income
72.2929807163258,0.00989333614441823,0.010000000000000009,71.67816081832785,national,56,ARE,2014,income
73.53617712743116,0.010063800694555702,0.010000000000000009,72.91319268828724,national,57,ARE,2014,income
74.79648336178727,0.010236561931468158,0.010000000000000009,74.16486427225246,national,58,ARE,2014,income
